member,Fy,span_ft,w_asd_plf,footnote
1000S162-54,50,4,1660.0,e
1000S162-54,50,5,1328.0,e
1000S162-54,50,6,1107.0,e
1000S162-54,50,8,830.0,e
1000S162-54,50,10,611.0,e
1000S162-54,50,12,424.0,e
1000S200-54,33,3,2213.0,e
1000S200-54,33,4,1660.0,e
1000S200-54,33,5,1328.0,e
1000S200-54,33,6,1107.0,e
1000S200-54,33,8,806.0,e
1000S200-54,33,10,516.0,e
1000S200-54,33,12,358.0,e
1000S200-54,50,3,2213.0,e
1000S200-54,50,4,1660.0,e
1000S200-54,50,5,1328.0,e
1000S200-54,50,6,1107.0,e
1000S200-54,50,8,830.0,e
1000S200-54,50,10,663.0,e
1000S200-54,50,12,460.0,e
1000S250-54,33,3,2213.0,e
1000S250-54,33,4,1660.0,e
1000S250-54,33,5,1328.0,e
1000S250-54,33,6,1107.0,e
1000S250-54,33,8,830.0,e
1000S250-54,33,10,594.0,e
1000S250-54,33,12,412.0,e
1000S250-54,50,3,2213.0,e
1000S250-54,50,4,1660.0,e
1000S250-54,50,5,1328.0,e
1000S250-54,50,6,1107.0,e
1000S250-54,50,8,830.0,e
1000S250-54,50,10,664.0,e
1000S250-54,50,12,505.0,e
1000S162-68,50,3,4460.0,e
1000S162-68,50,4,3345.0,e
1000S162-68,50,5,2676.0,e
1000S162-68,50,6,2230.0,e
1000S162-68,50,8,1323.0,e
1000S162-68,50,10,847.0,e
1000S162-68,50,12,588.0,e
1000S200-68,50,3,4460.0,e
1000S200-68,50,4,3345.0,e
1000S200-68,50,5,2676.0,e
1000S200-68,50,6,2230.0,e
1000S200-68,50,8,1490.0,e
1000S200-68,50,10,954.0,e
1000S200-68,50,12,662.0,e
1000S250-68,50,3,4460.0,e
1000S250-68,50,4,3345.0,e
1000S250-68,50,5,2676.0,e
1000S250-68,50,6,2230.0,e
1000S250-68,50,8,1673.0,e
1000S250-68,50,10,1092.0,e
1000S250-68,50,12,759.0,e
1000S162-97,50,3,13149.0,e
1000S162-97,50,4,8120.0,e
1000S162-97,50,5,5197.0,e
1000S162-97,50,6,3609.0,e
1000S162-97,50,8,2030.0,e
1000S162-97,50,10,1299.0,e
1000S162-97,50,12,858.0,e
1000S200-97,50,3,13149.0,e
1000S200-97,50,4,9298.0,e
1000S200-97,50,5,5950.0,e
1000S200-97,50,6,4132.0,e
1000S200-97,50,8,2324.0,e
1000S200-97,50,10,1488.0,e
1000S200-97,50,12,978.0,e
1000S250-97,50,3,13149.0,e
1000S250-97,50,4,9862.0,e
1000S250-97,50,5,6709.0,e
1000S250-97,50,6,4659.0,e
1000S250-97,50,8,2621.0,e
1000S250-97,50,10,1677.0,e
1000S250-97,50,12,1104.0,e
1000S162-118,50,3,19372.0,e
1000S162-118,50,4,10897.0,e
1000S162-118,50,5,6974.0,e
1000S162-118,50,6,4843.0,e
1000S162-118,50,8,2724.0,e
1000S162-118,50,10,1743.0,e
1000S162-118,50,12,1021.0,e
1000S200-118,50,3,21652.0,e
1000S200-118,50,4,12453.0,e
1000S200-118,50,5,7970.0,e
1000S200-118,50,6,5534.0,e
1000S200-118,50,8,3113.0,e
1000S200-118,50,10,1992.0,e
1000S200-118,50,12,1166.0,e
1000S250-118,50,3,21652.0,e
1000S250-118,50,4,12938.0,e
1000S250-118,50,5,8280.0,e
1000S250-118,50,6,5750.0,e
1000S250-118,50,8,3234.0,e
1000S250-118,50,10,2070.0,e
1000S250-118,50,12,1320.0,e
1200S162-54,33,3,1836.0,e
1200S162-54,33,4,1377.0,e
1200S162-54,33,5,1102.0,e
1200S162-54,33,6,918.0,e
1200S162-54,33,8,689.0,e
1200S162-54,33,10,454.0,e
1200S162-54,33,12,315.0,e
1200S162-54,50,3,1836.0,e
1200S162-54,50,4,1377.0,e
1200S162-54,50,5,1102.0,e
1200S162-54,50,6,918.0,e
1200S162-54,50,8,689.0,e
1200S162-54,50,10,551.0,e
1200S162-54,50,12,433.0,e
1200S200-54,33,3,1836.0,e
1200S200-54,33,4,1377.0,e
1200S200-54,33,5,1102.0,e
1200S200-54,33,6,918.0,e
1200S200-54,33,8,689.0,e
1200S200-54,33,10,524.0,e
1200S200-54,33,12,364.0,e
1200S200-54,50,3,1836.0,e
1200S200-54,50,4,1377.0,e
1200S200-54,50,5,1102.0,e
